Field,Type,Null,Key,Default,Extra
ID,varchar(255),NO,PRI,NULL,
REG_NO,varchar(255),NO,UNI,NULL,
NAME,varchar(255),NO,,NULL,
CONTACT,varchar(255),NO,,NULL,
EMAIL,varchar(255),NO,UNI,NULL,
COURSE,varchar(255),NO,,NULL,
BRANCH,varchar(255),NO,,NULL,
INTERNSHIP,varchar(255),YES,,NULL,
PLACEMENT,varchar(255),YES,,NULL,
RESUME,mediumblob,YES,,NULL,
ADVICE,varchar(255),YES,,NULL,
DOB,date,NO,,NULL,
STATE,varchar(255),NO,,NULL,
ABOUT,text,YES,,NULL,
PROFILEPICTURE,longblob,YES,,NULL,
SHORTBIO,text,YES,,NULL,
HOBBY,longtext,YES,,NULL,
LANGUAGE,longtext,YES,,NULL,
LANGUAGES,longtext,YES,,NULL,
